epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9974,2.27852,5.4061,1.09481,0.00201,0.05263,0.00504,0.00053,1.06015,4.21128,0.87524,0.00222222,0.00222222,0.08
2,24.2337,2.54623,5.99511,1.01822,0.00419,0.07895,0.00814,0.00203,1.22263,4.19111,0.86802,0.00544556,0.00544556,0.04989
3,35.4964,1.65353,5.11988,1.00643,0.00419,0.07895,0.00814,0.00203,1.22263,4.19111,0.86802,0.00853689,0.00853689,0.019648
4,47.8815,2.31124,5.30623,0.97543,0.00635,0.13158,0.00814,0.00431,1.79161,4.36461,1.00356,0.009406,0.009406,0.009406
5,59.2227,2.51497,6.94217,0.97199,0.00635,0.13158,0.00814,0.00431,1.79161,4.36461,1.00356,0.009208,0.009208,0.009208
6,69.9554,2.4576,4.88787,1.00042,0.00654,0.13158,0.00703,0.00276,2.30278,4.77045,1.2432,0.00901,0.00901,0.00901
7,80.9324,3.3578,6.64353,1.0552,0.00654,0.13158,0.00703,0.00276,2.30278,4.77045,1.2432,0.008812,0.008812,0.008812
8,91.3074,2.96108,6.23505,1.00612,0.00654,0.13158,0.00703,0.00276,2.30278,4.77045,1.2432,0.008614,0.008614,0.008614
9,101.753,2.71299,5.21956,1.09798,0.00585,0.15789,0.01423,0.00565,1.68978,4.43374,1.00339,0.008416,0.008416,0.008416
10,112.932,2.73639,5.14653,1.05423,0.00585,0.15789,0.01423,0.00565,1.68978,4.43374,1.00339,0.008218,0.008218,0.008218
11,124.718,3.11404,5.59525,1.06718,0.00275,0.05263,0.00935,0.00242,2.41176,4.49436,1.16402,0.00802,0.00802,0.00802
12,137.463,2.58873,5.06195,1.00475,0.00275,0.05263,0.00935,0.00242,2.41176,4.49436,1.16402,0.007822,0.007822,0.007822
13,149.138,2.38763,4.32871,0.99531,0.00212,0.05263,0.00167,0.00021,1.56137,4.16926,0.99173,0.007624,0.007624,0.007624
14,163.106,2.56089,5.35946,1.02132,0.00212,0.05263,0.00167,0.00021,1.56137,4.16926,0.99173,0.007426,0.007426,0.007426
15,179.219,2.63737,4.38642,1.09063,0.00212,0.05263,0.00167,0.00021,1.56137,4.16926,0.99173,0.007228,0.007228,0.007228
16,193.505,2.64629,4.19701,1.10066,0.00112,0.02632,0.00115,0.00011,2.1667,4.40672,1.1815,0.00703,0.00703,0.00703
17,206.516,2.51566,4.82924,1.01393,0.00112,0.02632,0.00115,0.00011,2.1667,4.40672,1.1815,0.006832,0.006832,0.006832
18,219.105,2.63321,4.1714,1.01036,0.00496,0.13158,0.04243,0.0264,1.51486,4.12711,1.02401,0.006634,0.006634,0.006634
19,230.028,2.13219,3.94199,0.96782,0.00496,0.13158,0.04243,0.0264,1.51486,4.12711,1.02401,0.006436,0.006436,0.006436
20,241.134,2.85,5.14127,0.97908,0.00377,0.10526,0.01365,0.00189,1.76928,4.19468,1.04973,0.006238,0.006238,0.006238
21,253.551,2.53502,4.18984,0.92733,0.00377,0.10526,0.01365,0.00189,1.76928,4.19468,1.04973,0.00604,0.00604,0.00604
22,264.767,2.57316,4.81235,0.92187,0.00377,0.10526,0.01365,0.00189,1.76928,4.19468,1.04973,0.005842,0.005842,0.005842
23,274.999,2.18034,3.59997,0.85959,0.00647,0.15789,0.04643,0.018,1.76477,4.00581,1.02288,0.005644,0.005644,0.005644
24,285.605,2.35225,3.92092,0.90104,0.00647,0.15789,0.04643,0.018,1.76477,4.00581,1.02288,0.005446,0.005446,0.005446
25,296.357,2.75279,4.6704,0.92199,0.00731,0.18421,0.08246,0.04032,1.5579,3.9108,0.98882,0.005248,0.005248,0.005248
26,307.32,2.00031,3.67655,0.85612,0.00731,0.18421,0.08246,0.04032,1.5579,3.9108,0.98882,0.00505,0.00505,0.00505
27,318.259,2.18505,3.47955,0.89578,0.00882,0.23684,0.1057,0.06746,1.6455,3.839,0.9871,0.004852,0.004852,0.004852
28,329.824,1.68918,3.53636,0.89722,0.00882,0.23684,0.1057,0.06746,1.6455,3.839,0.9871,0.004654,0.004654,0.004654
29,341.406,2.28737,3.74206,0.90019,0.00882,0.23684,0.1057,0.06746,1.6455,3.839,0.9871,0.004456,0.004456,0.004456
30,351.919,2.07245,3.155,0.87245,0.00829,0.23684,0.14938,0.10551,1.45414,3.70535,0.96583,0.004258,0.004258,0.004258
31,362.684,1.76308,2.93061,0.86257,0.00829,0.23684,0.14938,0.10551,1.45414,3.70535,0.96583,0.00406,0.00406,0.00406
32,373.411,1.95225,3.47386,0.87819,0.00784,0.23684,0.17986,0.1182,1.60534,3.5472,0.96195,0.003862,0.003862,0.003862
33,385.828,2.0884,3.14229,0.88484,0.00784,0.23684,0.17986,0.1182,1.60534,3.5472,0.96195,0.003664,0.003664,0.003664
34,397.201,1.97001,3.05735,0.84916,0.33545,0.10526,0.17605,0.11804,1.54716,3.4089,0.95748,0.003466,0.003466,0.003466
35,407.955,1.85903,3.11662,0.86606,0.33545,0.10526,0.17605,0.11804,1.54716,3.4089,0.95748,0.003268,0.003268,0.003268
36,418.621,1.88623,2.9703,0.85677,0.33545,0.10526,0.17605,0.11804,1.54716,3.4089,0.95748,0.00307,0.00307,0.00307
37,432.013,1.78377,2.92487,0.84928,1,0.07317,0.1787,0.11845,1.48496,3.23553,0.93634,0.002872,0.002872,0.002872
38,444.349,1.77722,3.30803,0.81147,1,0.07317,0.1787,0.11845,1.48496,3.23553,0.93634,0.002674,0.002674,0.002674
39,455.527,1.92436,2.95168,0.83053,1,0.07492,0.17628,0.12954,1.40326,3.18729,0.94256,0.002476,0.002476,0.002476
40,466.423,1.5898,2.81782,0.82615,1,0.07492,0.17628,0.12954,1.40326,3.18729,0.94256,0.002278,0.002278,0.002278
41,477.167,1.6221,3.63369,0.86246,0.84552,0.06033,0.21094,0.16117,1.29464,2.99184,0.92906,0.00208,0.00208,0.00208
42,488,1.64572,3.60545,0.88945,0.84552,0.06033,0.21094,0.16117,1.29464,2.99184,0.92906,0.001882,0.001882,0.001882
43,498.951,1.60941,3.8561,0.84028,0.84552,0.06033,0.21094,0.16117,1.29464,2.99184,0.92906,0.001684,0.001684,0.001684
44,514.211,1.40877,2.94969,0.85399,0.8712,0.07655,0.24024,0.1754,1.30002,2.8846,0.93045,0.001486,0.001486,0.001486
45,526.489,1.6198,3.72277,0.8571,0.8712,0.07655,0.24024,0.1754,1.30002,2.8846,0.93045,0.001288,0.001288,0.001288
46,538.864,1.42692,3.55595,0.82623,0.83413,0.07895,0.25803,0.18508,1.27594,2.7704,0.93348,0.00109,0.00109,0.00109
47,550.793,1.60387,3.77886,0.84368,0.83413,0.07895,0.25803,0.18508,1.27594,2.7704,0.93348,0.000892,0.000892,0.000892
48,565.792,1.49571,3.3558,0.83894,0.3919,0.13158,0.29771,0.21854,1.26554,2.68441,0.93821,0.000694,0.000694,0.000694
49,578.089,1.61782,3.67784,0.78411,0.3919,0.13158,0.29771,0.21854,1.26554,2.68441,0.93821,0.000496,0.000496,0.000496
50,589.269,1.41962,3.05666,0.81155,0.3919,0.13158,0.29771,0.21854,1.26554,2.68441,0.93821,0.000298,0.000298,0.000298
